CEGE201M,COMP105P,COMP201P,COMP202P,COMP203P,COMP204P,COMP205P,COMP206P,COMP207P,COMP209P,ELEC210P,ENGS212M,LCFR6001,LCFR6002,LCFR6003,LCGE6007,LCJA6001,LCMA6001,LCSP6001,MSIN6001B,MSIN7008,MSIN716P,STAO6001,STAO6002,Year Average,
,,72,82,72,70,70,81,87,,,,,,,,,,,,72,,,,76,
62,,64,66,62,40,47,69,50,,,,,,,,,,,,,,,,58,
,,89,84,68,82,77,70,91,,92,,,,,,,,,,,,,,82,
70,,91,83,66,81,82,54,89,,,,,,,,,,,,,,,,77,
,,96,82,77,91,85,92,84,79,,,,,,,,,,,,,,,86,
74,,78,83,65,75,73,86,83,,,,,,,,,,,,,,,,77,
,,60,55,67,70,72,46,60,,63,,,,,,,,,,,,,,62,
,,12,3,67,60,72,61,0,,,,,55,,,,,,,,,,,63,
,,75,70,69,70,76,57,83,,,,,,,,,,,,72,,,,72,
70,,69,85,67,70,65,80,84,,,,,,,,,,,,,,,,74,
,,66,64,67,81,75,70,71,,,60,,,,,,,,,,,,,69,
,,84,81,66,81,76,46,84,,,,,,,,63,,,,,,,,73,
,,93,95,78,90,85,88,91,84,,,,,,,,,,,,,,,88,
,,90,70,66,75,83,72,77,,82,,,,,,,,,,,,,,77,
70,,84,93,64,75,76,75,83,,,,,,,,,,,,,,,,78,
,,87,76,69,70,73,74,71,72,,,,,,,,,,,,,,,74,
,,80,82,68,76,83,75,88,,77,,,,,,,,,,,,,,79,
80,,86,91,70,86,81,74,88,,,,,,,,,,,,,,,,82,
,,83,65,68,82,76,71,74,,,,,,,,,,,,,70,,,74,
,,73,68,66,78,76,50,77,,,,,,,,,,,,,41,,,66,
,,82,66,68,73,70,63,87,,,,,,,,,77,,,,,,,73,
,,88,91,72,70,73,81,83,84,,,,,,,,,,,,,,,80,
,,82,80,65,67,64,79,79,,,,,,,,,,,,,55,,,71,
,,90,91,71,71,71,82,88,,86,,,,,,,,,,,,,,81,
,,95,92,71,73,76,93,95,75,,,,,,,,,,,,,,,84,
,,88,83,76,75,76,65,84,78,,,,,,,,,,,,,,,78,
,,75,88,59,67,70,74,61,,,,,,,,,,,,65,,,,70,
,,79,70,65,75,76,71,84,,,,,,,,,,,63,,,,,73,
71,,77,84,59,66,67,49,58,,,,,,,,,,,,,,,,66,
,,76,46,62,40,52,44,58,,,,,,54,,,,,,,,,,54,
,,81,86,54,79,70,41,64,,79,,,,,,,,,,,,,,69,
,53,63,58,64,50,56,55,65,,,,,,,73,,,,,,,,,60,
,,81,89,65,60,68,86,85,63,,,,,,,,,,,,,,,75,
,,71,82,66,70,74,48,79,68,,,,,,,,,,,,,,,70,
,,74,78,65,72,75,65,80,,,43,,,,,,,,,,,,,69,
,,73,79,66,68,68,64,79,,,,,,,,,,,62,,,,,70,
,,0,0,42,50,38,0,0,0,,,,,,,,,,,,,,,46,
,,84,88,71,78,75,80,81,,,,,,,,,,76,,,,,,79,
,,75,81,52,65,61,75,70,53,,,,,,,,,,,,,,,67,
,,50,62,68,71,71,58,68,,,,62,,,,,,,,,,,,64,
